Date,Category,Product Name,Product Color,ID,Original Price,Sale Price,Current Lowest Price,Promotion,Extra Promotion,Extra Promotion %,Price After Promo,% Off From Original,Average Price,% from Average
1/26/2020,Mens Coats & Jackets,Refined Parka,Black,39491349,220.0,150.0,150.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,150.0,31.82,,
1/26/2020,Mens Coats & Jackets,The Military Bomber,Black,40025009,120.0,,120.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,120.0,0.0,,
1/26/2020,Mens Coats & Jackets,Refined Parka,Grey,39491348,220.0,150.0,150.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,150.0,31.82,,
1/26/2020,Mens Coats & Jackets,Wool-Blend Topcoat,Black,39491347,240.0,150.0,150.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,150.0,37.5,,
1/26/2020,Mens Coats & Jackets,3-in-1 Parka,Black,35010403,260.0,,260.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,260.0,0.0,,
1/26/2020,Mens Coats & Jackets,The Faux Suede Bomber,Grey,40025010,160.0,,160.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,160.0,0.0,,
1/26/2020,Mens Coats & Jackets,Wool-Blend Peacoat,Navy Blue,38711458,220.0,150.0,150.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,150.0,31.82,,
1/26/2020,Mens Coats & Jackets,Wool-Blend Topcoat,Grey Pattern,38711454,240.0,150.0,150.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,150.0,37.5,,
1/26/2020,Mens Coats & Jackets,Faux Suede Trucker Jacket,Light Khaki,39671871,140.0,,140.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,140.0,0.0,,
1/26/2020,Mens Coats & Jackets,Wool-Blend Peacoat,Dark Grey,38711459,220.0,150.0,150.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,150.0,31.82,,
1/26/2020,Mens Coats & Jackets,Hooded Sherpa-Lined Trench Coat,Cream,39671873,160.0,,160.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,160.0,0.0,,
1/26/2020,Mens Coats & Jackets,The Military Bomber,Khaki,40025008,120.0,,120.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,120.0,0.0,,
1/26/2020,Mens Coats & Jackets,Wool-Blend Topcoat,Navy Blue,38711456,240.0,150.0,150.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,150.0,37.5,,
1/26/2020,Mens Coats & Jackets,Wool-Blend Trucker Jacket,Navy Blue,39678321,160.0,,160.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,160.0,0.0,,
1/26/2020,Mens Coats & Jackets,Faux Suede Trucker Jacket,Dark Grey,39671872,140.0,,140.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,140.0,0.0,,
1/26/2020,Mens Coats & Jackets,Faux-Suede Trucker Jacket,Navy Blue,40025011,140.0,,140.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,140.0,0.0,,
1/26/2020,Mens Coats & Jackets,Nylon-Blend Bomber Jacket,Black,39994369,120.0,,120.0,Limited Time: 25% Off $125 Purchase. Use Code: 14994 + Free Shipping on Orders Over $75,,0,120.0,0.0,,
